HEX,L*,a*,b*
#f2e9d8,92.62508740061716,0.2050088046300913,9.345979696952389
#b29a77,64.89058255237579,3.6255837490994924,21.67898813113016
#b49152,62.13880773446964,5.40327876930019,38.10572704791404
#6a6439,41.960236777334615,-4.4089610296513815,25.177721417065158
#804d39,38.187436422583254,19.306181665014826,20.911824915724686
#6a372a,29.3227593283695,21.258239487850382,18.181615713349466
#774036,33.681301052252806,22.742651182405872,16.647311440036596
#ffd877,87.82757174353252,2.11830163352289,52.36592114872365
#fec428,82.2218662657004,7.917580198360364,77.59803843110514
#eda319,72.41100319759259,17.646393893580413,72.59364363187689
#f0841a,65.83235738114314,35.165375737339964,67.53446065235691
#b6500b,46.59110746098496,38.23852076343015,53.61975468297955
#bc3815,43.620444095585334,51.35850667047159,48.68424877271891
#ffab62,76.84393491903388,23.935879765989988,49.515985403020444
#fe7c58,66.66990128380495,46.87738299998223,42.58026808897319
#fe5e00,60.85465820162479,58.08335465099712,70.46588530536613
#f64726,56.3327387132132,64.8219886538769,56.211873645130424
#da1300,46.14510624572832,69.31963160026494,59.92537447579116
#cf232b,45.14570948607491,64.19821122700792,40.630242207946544
#579e0c,58.51407012138897,-43.82463678044102,58.770488115615436
#9ce159,82.72088496902074,-43.3632254872508,58.23116107506667
#6a9b35,58.75478231172865,-33.46046638170663,46.65455732948437
#859963,60.48915902607432,-16.696978329725056,26.10434559747956
#54715f,44.97089910351385,-14.605533901420193,6.60564331907032
#4d7028,43.24022103614814,-25.460593107716534,35.151672296523564
#395916,34.13322969033224,-23.822665442021357,33.38484621347845
#468d5f,53.1427574746229,-33.24891594425655,17.866244308057123
#08a4a2,60.96527992371203,-34.879704336855056,-9.047557782297066
#185358,31.998958398161754,-16.708851328091523,-8.435933406566132
#3b5aa7,39.63239730886493,14.011857227821721,-44.92160588234655
